,Id,Año,Mes,Día,Fecha ,Vehiculo victima,Sexo,Edad victima,Gravedad,Rango_etario
250,LC-2019-0020989,2019,1,10,2019-01-10,sd,Varon,33,SD, Entre 21- 40
251,LC-2019-0021079,2019,1,10,2019-01-10,sd,Varon,34,SD, Entre 21- 40
252,LC-2019-0021335,2019,1,10,2019-01-10,sd,Varon,39,SD, Entre 21- 40
253,LC-2019-0021415,2019,1,10,2019-01-10,sd,Varon,31,SD, Entre 21- 40
254,LC-2019-0093543,2019,1,10,2019-01-10,sd,Varon,36,SD, Entre 21- 40
255,LC-2019-0021365,2019,1,11,2019-01-11,sd,Varon,42,SD,Entre 41-60
256,LC-2019-0021365,2019,1,11,2019-01-11,sd,Varon,42,SD,Entre 41-60
257,LC-2019-0021365,2019,1,11,2019-01-11,sd,Mujer,28,SD, Entre 21- 40
258,LC-2019-0021434,2019,1,11,2019-01-11,sd,Varon,24,SD, Entre 21- 40
259,LC-2019-0021709,2019,1,11,2019-01-11,sd,Varon,60,SD,Entre 61-80
260,LC-2019-0021896,2019,1,11,2019-01-11,sd,Varon,0,SD,Menos de 20
261,LC-2019-0021896,2019,1,11,2019-01-11,sd,Varon,0,SD,Menos de 20
262,LC-2019-0022026,2019,1,11,2019-01-11,sd,Varon,0,SD,Menos de 20
263,LC-2019-0022105,2019,1,11,2019-01-11,sd,Varon,41,SD,Entre 41-60
264,LC-2019-0022106,2019,1,11,2019-01-11,sd,SD,0,SD,Menos de 20
265,LC-2019-0022174,2019,1,11,2019-01-11,sd,Varon,44,SD,Entre 41-60
266,LC-2019-0022256,2019,1,11,2019-01-11,sd,Mujer,0,SD,Menos de 20
267,LC-2019-0022273,2019,1,11,2019-01-11,sd,Varon,41,SD,Entre 41-60
268,LC-2019-0022275,2019,1,11,2019-01-11,sd,Mujer,54,SD,Entre 41-60
269,LC-2019-0022298,2019,1,11,2019-01-11,sd,Mujer,67,SD,Entre 61-80
270,LC-2019-0022348,2019,1,11,2019-01-11,sd,Mujer,74,SD,Entre 61-80
271,LC-2019-0022492,2019,1,11,2019-01-11,sd,Mujer,64,SD,Entre 61-80
272,LC-2019-0022559,2019,1,11,2019-01-11,sd,Varon,34,SD, Entre 21- 40
273,LC-2019-0022606,2019,1,11,2019-01-11,sd,Mujer,36,SD, Entre 21- 40
274,LC-2019-0022650,2019,1,11,2019-01-11,sd,Mujer,25,SD, Entre 21- 40
275,LC-2019-0022670,2019,1,11,2019-01-11,sd,Mujer,35,SD, Entre 21- 40
276,LC-2019-0022774,2019,1,11,2019-01-11,sd,Varon,0,SD,Menos de 20
277,LC-2019-0022790,2019,1,11,2019-01-11,sd,Mujer,43,SD,Entre 41-60
278,LC-2019-0023022,2019,1,11,2019-01-11,sd,Varon,30,SD, Entre 21- 40
279,LC-2019-0023164,2019,1,11,2019-01-11,sd,Mujer,58,SD,Entre 41-60
280,LC-2019-0023309,2019,1,11,2019-01-11,sd,Varon,41,SD,Entre 41-60
281,LC-2019-0023360,2019,1,11,2019-01-11,sd,Varon,26,SD, Entre 21- 40
282,LC-2019-0023362,2019,1,11,2019-01-11,sd,Varon,42,SD,Entre 41-60
283,LC-2019-0023485,2019,1,11,2019-01-11,sd,Varon,22,SD, Entre 21- 40
284,LC-2019-0023488,2019,1,11,2019-01-11,sd,Varon,0,SD,Menos de 20
285,LC-2019-0023539,2019,1,11,2019-01-11,sd,Varon,0,SD,Menos de 20
286,LC-2019-0023555,2019,1,11,2019-01-11,sd,Varon,29,SD, Entre 21- 40
287,LC-2019-0023599,2019,1,11,2019-01-11,sd,Mujer,0,SD,Menos de 20
288,LC-2019-0023727,2019,1,11,2019-01-11,sd,Varon,36,SD, Entre 21- 40
289,LC-2019-0024103,2019,1,11,2019-01-11,sd,Varon,45,SD,Entre 41-60
290,LC-2019-0024454,2019,1,11,2019-01-11,sd,Varon,23,SD, Entre 21- 40
291,LC-2019-0032150,2019,1,11,2019-01-11,sd,Varon,25,SD, Entre 21- 40
292,LC-2019-0040263,2019,1,11,2019-01-11,sd,Mujer,0,SD,Menos de 20
293,LC-2019-0687058,2019,1,11,2019-01-11,sd,varon,34,SD, Entre 21- 40
294,LC-2019-0688515,2019,1,11,2019-01-11,sd,varon,37,SD, Entre 21- 40
295,LC-2019-0023692,2019,1,12,2019-01-12,sd,Mujer,24,SD, Entre 21- 40
296,LC-2019-0023692,2019,1,12,2019-01-12,sd,Varon,24,SD, Entre 21- 40
297,LC-2019-0023777,2019,1,12,2019-01-12,sd,Varon,52,SD,Entre 41-60
298,LC-2019-0023860,2019,1,12,2019-01-12,sd,Varon,34,SD, Entre 21- 40
299,LC-2019-0023860,2019,1,12,2019-01-12,sd,Varon,34,SD, Entre 21- 40
300,LC-2019-0023868,2019,1,12,2019-01-12,sd,Varon,33,SD, Entre 21- 40
301,LC-2019-0023906,2019,1,12,2019-01-12,sd,Mujer,39,SD, Entre 21- 40
302,LC-2019-0023906,2019,1,12,2019-01-12,sd,Varon,39,SD, Entre 21- 40
303,LC-2019-0023906,2019,1,12,2019-01-12,sd,Mujer,0,SD,Menos de 20
304,LC-2019-0023906,2019,1,12,2019-01-12,sd,Varon,27,SD, Entre 21- 40
305,LC-2019-0023906,2019,1,12,2019-01-12,sd,Varon,31,SD, Entre 21- 40
306,LC-2019-0024132,2019,1,12,2019-01-12,sd,Varon,0,SD,Menos de 20
307,LC-2019-0024257,2019,1,12,2019-01-12,sd,Mujer,70,SD,Entre 61-80
308,LC-2019-0024265,2019,1,12,2019-01-12,sd,Mujer,32,SD, Entre 21- 40
309,LC-2019-0024269,2019,1,12,2019-01-12,sd,Varon,25,SD, Entre 21- 40
310,LC-2019-0024408,2019,1,12,2019-01-12,sd,Varon,27,SD, Entre 21- 40
311,LC-2019-0024465,2019,1,12,2019-01-12,sd,Varon,47,SD,Entre 41-60
312,LC-2019-0024488,2019,1,12,2019-01-12,sd,Varon,50,SD,Entre 41-60
313,LC-2019-0024600,2019,1,12,2019-01-12,sd,Mujer,35,SD, Entre 21- 40
314,LC-2019-0024719,2019,1,12,2019-01-12,sd,Varon,25,SD, Entre 21- 40
315,LC-2019-0024752,2019,1,12,2019-01-12,sd,Varon,54,SD,Entre 41-60
316,LC-2019-0024755,2019,1,12,2019-01-12,sd,Varon,34,SD, Entre 21- 40
317,LC-2019-0024755,2019,1,12,2019-01-12,sd,Mujer,34,SD, Entre 21- 40
318,LC-2019-0024778,2019,1,12,2019-01-12,sd,Mujer,38,SD, Entre 21- 40
319,LC-2019-0025473,2019,1,12,2019-01-12,sd,Varon,75,SD,Entre 61-80
320,LC-2019-0033162,2019,1,12,2019-01-12,sd,Mujer,58,SD,Entre 41-60
321,LC-2019-0267484,2019,1,12,2019-01-12,sd,Varon,31,SD, Entre 21- 40
322,LC-2019-0757409,2019,1,12,2019-01-12,sd,varon,59,SD,Entre 41-60
323,LC-2019-0024930,2019,1,13,2019-01-13,sd,Varon,73,SD,Entre 61-80
324,LC-2019-0025033,2019,1,13,2019-01-13,sd,Mujer,41,SD,Entre 41-60
325,LC-2019-0025067,2019,1,13,2019-01-13,sd,Varon,31,SD, Entre 21- 40
326,LC-2019-0025088,2019,1,13,2019-01-13,sd,Varon,42,SD,Entre 41-60
327,LC-2019-0025109,2019,1,13,2019-01-13,sd,Varon,45,SD,Entre 41-60
328,LC-2019-0025109,2019,1,13,2019-01-13,sd,Mujer,45,SD,Entre 41-60
329,LC-2019-0025134,2019,1,13,2019-01-13,sd,Mujer,33,SD, Entre 21- 40
330,LC-2019-0025154,2019,1,13,2019-01-13,sd,Mujer,28,SD, Entre 21- 40
331,LC-2019-0025411,2019,1,13,2019-01-13,sd,Mujer,33,SD, Entre 21- 40
332,LC-2019-0025411,2019,1,13,2019-01-13,sd,Varon,33,SD, Entre 21- 40
333,LC-2019-0025411,2019,1,13,2019-01-13,sd,Varon,0,SD,Menos de 20
334,LC-2019-0642028,2019,10,14,2019-10-14,sd,Varon,20,SD, Entre 21- 40
335,LC-2019-0025428,2019,1,13,2019-01-13,sd,Mujer,41,SD,Entre 41-60
336,LC-2019-0025428,2019,1,13,2019-01-13,sd,Mujer,41,SD,Entre 41-60
337,LC-2019-0025548,2019,1,13,2019-01-13,sd,Varon,21,SD, Entre 21- 40
338,LC-2019-0025548,2019,1,13,2019-01-13,sd,Varon,21,SD, Entre 21- 40
339,LC-2019-0378357,2019,6,18,2019-06-18,sd,Varon,37,SD, Entre 21- 40
340,LC-2019-0025730,2019,1,13,2019-01-13,sd,Varon,64,SD,Entre 61-80
341,LC-2019-0025730,2019,1,13,2019-01-13,sd,Varon,64,SD,Entre 61-80
342,LC-2019-0052617,2019,1,13,2019-01-13,sd,Varon,36,SD, Entre 21- 40
343,LC-2019-0052617,2019,1,13,2019-01-13,sd,Mujer,36,SD, Entre 21- 40
344,LC-2019-0025021,2019,1,13,2019-01-13,sd,varon,74,SD,Entre 61-80
345,LC-2019-0025831,2019,1,14,2019-01-14,sd,Varon,21,SD, Entre 21- 40
346,LC-2019-0025831,2019,1,14,2019-01-14,sd,Mujer,21,SD, Entre 21- 40
347,LC-2019-0025841,2019,1,14,2019-01-14,sd,Mujer,48,SD,Entre 41-60
348,LC-2019-0025841,2019,1,14,2019-01-14,sd,Mujer,48,SD,Entre 41-60
