Id,Fecha,Aaa,Mes_x,Día_x,Día semana,Hora,Num víctimas,Participantes,Acusado,Victima,Sexo,Edad victima,Rango etario,Lugar del hecho,Tipo de calle,Calle,Cruce,Dirección normalizada,Comuna,Barrios,Xy (caba),Coordenada x,Coordenada y,Pos x,Pos y
LC-2019-0006306,1900-01-01,2019,1,4,,,,,,,Varon,0,Menos de 20,,,,,,,,,,,,
LC-2019-0006547,1900-01-01,2019,1,4,,,,,,,Varon,38, Entre 21- 40,,,,,,,,,,,,
LC-2019-0006638,1900-01-01,2019,1,4,,,,,,,Varon,37, Entre 21- 40,,,,,,,,,,,,
LC-2019-0006638,1900-01-01,2019,1,4,,,,,,,Varon,37, Entre 21- 40,,,,,,,,,,,,
LC-2019-0006659,1900-01-01,2019,1,4,,,,,,,Varon,48,Entre 41-60,,,,,,,,,,,,
LC-2019-0006789,1900-01-01,2019,1,4,,,,,,,Mujer,5,Menos de 20,,,,,,,,,,,,
LC-2019-0006837,1900-01-01,2019,1,4,,,,,,,Mujer,0,Menos de 20,,,,,,,,,,,,
LC-2019-0006857,1900-01-01,2019,1,4,,,,,,,Mujer,0,Menos de 20,,,,,,,,,,,,
LC-2019-0007002,1900-01-01,2019,1,4,,,,,,,Varon,0,Menos de 20,,,,,,,,,,,,
LC-2019-0007021,1900-01-01,2019,1,4,,,,,,,Varon,34, Entre 21- 40,,,,,,,,,,,,
LC-2019-0007294,1900-01-01,2019,1,4,,,,,,,Varon,39, Entre 21- 40,,,,,,,,,,,,
LC-2019-0007336,1900-01-01,2019,1,4,,,,,,,Varon,0,Menos de 20,,,,,,,,,,,,
LC-2019-0007536,1900-01-01,2019,1,4,,,,,,,Mujer,28, Entre 21- 40,,,,,,,,,,,,
LC-2019-0007634,1900-01-01,2019,1,4,,,,,,,Varon,0,Menos de 20,,,,,,,,,,,,
LC-2019-0007660,1900-01-01,2019,1,4,,,,,,,Varon,23, Entre 21- 40,,,,,,,,,,,,
LC-2019-0007701,1900-01-01,2019,1,4,,,,,,,Varon,34, Entre 21- 40,,,,,,,,,,,,
LC-2019-0007778,1900-01-01,2019,1,4,,,,,,,Mujer,56,Entre 41-60,,,,,,,,,,,,
LC-2019-0008077,1900-01-01,2019,1,4,,,,,,,Mujer,44,Entre 41-60,,,,,,,,,,,,
LC-2019-0008227,1900-01-01,2019,1,4,,,,,,,Mujer,26, Entre 21- 40,,,,,,,,,,,,
LC-2019-0008238,1900-01-01,2019,1,4,,,,,,,Mujer,69,Entre 61-80,,,,,,,,,,,,
LC-2019-0008238,1900-01-01,2019,1,4,,,,,,,Mujer,69,Entre 61-80,,,,,,,,,,,,
LC-2019-0008283,1900-01-01,2019,1,4,,,,,,,Varon,26, Entre 21- 40,,,,,,,,,,,,
LC-2019-0008283,1900-01-01,2019,1,4,,,,,,,Mujer,26, Entre 21- 40,,,,,,,,,,,,
LC-2019-0008314,1900-01-01,2019,1,4,,,,,,,Mujer,55,Entre 41-60,,,,,,,,,,,,
LC-2019-0008367,1900-01-01,2019,1,4,,,,,,,Varon,46,Entre 41-60,,,,,,,,,,,,
LC-2019-0008388,1900-01-01,2019,1,4,,,,,,,Mujer,0,Menos de 20,,,,,,,,,,,,
LC-2019-0008388,1900-01-01,2019,1,4,,,,,,,Mujer,0,Menos de 20,,,,,,,,,,,,
LC-2019-0008388,1900-01-01,2019,1,4,,,,,,,Mujer,34, Entre 21- 40,,,,,,,,,,,,
LC-2019-0008467,1900-01-01,2019,1,4,,,,,,,Varon,29, Entre 21- 40,,,,,,,,,,,,
LC-2019-0008493,1900-01-01,2019,1,4,,,,,,,Mujer,34, Entre 21- 40,,,,,,,,,,,,
LC-2019-0008496,1900-01-01,2019,1,4,,,,,,,Varon,0,Menos de 20,,,,,,,,,,,,
LC-2019-0008565,1900-01-01,2019,1,4,,,,,,,Varon,34, Entre 21- 40,,,,,,,,,,,,
LC-2019-0008566,1900-01-01,2019,1,4,,,,,,,Varon,26, Entre 21- 40,,,,,,,,,,,,
LC-2019-0011897,1900-01-01,2019,1,4,,,,,,,Mujer,38, Entre 21- 40,,,,,,,,,,,,
LC-2019-0017883,1900-01-01,2019,1,4,,,,,,,Varon,53,Entre 41-60,,,,,,,,,,,,
LC-2019-0020135,1900-01-01,2019,1,4,,,,,,,Varon,23, Entre 21- 40,,,,,,,,,,,,
LC-2019-0020930,1900-01-01,2019,1,4,,,,,,,Varon,28, Entre 21- 40,,,,,,,,,,,,
LC-2019-0267364,1900-01-01,2019,1,4,,,,,,,Varon,41,Entre 41-60,,,,,,,,,,,,
LC-2019-0314341,1900-01-01,2019,5,20,,,,,,,Varon,56,Entre 41-60,,,,,,,,,,,,
LC-2019-0008603,1900-01-01,2019,1,5,,,,,,,Varon,43,Entre 41-60,,,,,,,,,,,,
LC-2019-0008860,1900-01-01,2019,1,5,,,,,,,Varon,67,Entre 61-80,,,,,,,,,,,,
LC-2019-0008860,1900-01-01,2019,1,5,,,,,,,Varon,67,Entre 61-80,,,,,,,,,,,,
LC-2019-0008860,1900-01-01,2019,1,5,,,,,,,Varon,40,Entre 41-60,,,,,,,,,,,,
LC-2019-0008916,1900-01-01,2019,1,5,,,,,,,Varon,33, Entre 21- 40,,,,,,,,,,,,
LC-2019-0008924,1900-01-01,2019,1,5,,,,,,,Varon,0,Menos de 20,,,,,,,,,,,,
LC-2019-0008974,1900-01-01,2019,1,5,,,,,,,Mujer,29, Entre 21- 40,,,,,,,,,,,,
LC-2019-0009068,1900-01-01,2019,1,5,,,,,,,Varon,54,Entre 41-60,,,,,,,,,,,,
LC-2019-0009123,1900-01-01,2019,1,5,,,,,,,Varon,51,Entre 41-60,,,,,,,,,,,,
LC-2019-0009194,1900-01-01,2019,1,5,,,,,,,Varon,33, Entre 21- 40,,,,,,,,,,,,
LC-2019-0009305,1900-01-01,2019,1,5,,,,,,,Varon,42,Entre 41-60,,,,,,,,,,,,
LC-2019-0009312,1900-01-01,2019,1,5,,,,,,,Mujer,74,Entre 61-80,,,,,,,,,,,,
LC-2019-0009325,1900-01-01,2019,1,5,,,,,,,Varon,70,Entre 61-80,,,,,,,,,,,,
LC-2019-0009392,1900-01-01,2019,1,5,,,,,,,Mujer,40,Entre 41-60,,,,,,,,,,,,
LC-2019-0009580,1900-01-01,2019,1,5,,,,,,,Mujer,6,Menos de 20,,,,,,,,,,,,
LC-2019-0009722,1900-01-01,2019,1,5,,,,,,,Mujer,30, Entre 21- 40,,,,,,,,,,,,
LC-2019-0025772,1900-01-01,2019,1,13,,,,,,,Varon,0,Menos de 20,,,,,,,,,,,,
LC-2019-0010031,1900-01-01,2019,1,5,,,,,,,Varon,28, Entre 21- 40,,,,,,,,,,,,
LC-2019-0010621,1900-01-01,2019,1,5,,,,,,,Mujer,12,Menos de 20,,,,,,,,,,,,
LC-2019-0012840,1900-01-01,2019,1,5,,,,,,,Mujer,83,Más de 80,,,,,,,,,,,,
